ID,ierc_1a,ierc_1b,ierc_2,ierc_3,ierc_3_3_text,ierc_4,ierc_5,ierc_6,iris_1,iris_2,iris_3,iris_4,iris_5,iris_6,iris_7,iris_8,iris_9,iris_10,iris_11,iris_12,iris_13,iris_14,iris_15,iris_16,iris_17,iris_18,iris_19,iris_20,iris_21,iris_22,iris_23,iris_24,iris_25,iris_26,iris_27,iris_28,ier_eff1,ier_eff2,ier_eff3,ier_eff5,ier_eff6,ppass_1,ppass_2,ppass_3,ppass_4,ppass_5,ppass_6,ppass_7,ppass_8,ppass_9,ppass_10,ppass_11,ppass_12,ppass_13,ppass_14,ppass_15,ppass_16,ppass_17,ppass_18,ppass_19,ppass_20,ppass_21,ppass_22,ppass_23,ppass_24,sdt_1,sdt_2,sdt_3,sdt_4,sdt_5,sdt_6,sdt_7,sdt_8,sdt_9,sdt_10,sdt_11,sdt_12,sdt_13,sdt_14,sdt_15,sdt_16,sdt_17,sdt_18,sdt_19,sdt_20,sdt_21,sdt_22,sdt_23,sdt_24,bnsr_1,bnsr_2,bnsr_3,bnsr_4,bnsr_5,bnsr_6,bnsr_7,bnsr_8,bnsr_9,cerq_1,cerq_2,cerq_3,cerq_4,cerq_5,cerq_6,cerq_7,cerq_8,cerq_9,cerq_10,cerq_11,cerq_12,cerq_13,cerq_14,cerq_15,cerq_16,cerq_17,cerq_18,ders_1,ders_2,ders_3,ders_4,ders_5,ders_6,ders_7,ders_8,ders_9,ders_10,ders_11,ders_12,ders_13,ders_14,ders_15,ders_16,ders_17,ders_18,ders_19,ders_20,ders_21,ders_22,ders_23,ders_24,ders_25,ders_26,ders_27,ders_28,ders_29,ders_30,ders_31,ders_32,ders_33,ders_34,ders_35,ders_36,age#1_1,age#2_1,age#3_1,gender,gender_5_text,s_orientation,s_orientation_6_text,relationship,race,home,home_3_text,home_who,home_who_9_text,dependent,first_gen,income,iris_r,iris_h,iris_cs,iris_pp,ppass_limits,ppass_reason,ppass_aware,ppass_threat,ppass_guilt,ppass_perform
8024,"I was extremely anxious with built-up emotions from trying to figure out what to do with college, if I wanted to go, where I would go, what I would do, and so on.",I felt extremely at a loss and terrified of the future and my own ambitions or purpose.,"I first came to my mother for her thoughts on the situation, but I had ended up having a meltdown and had received physical affection from her as she cried with me. She hugged me and reassured me everything would be alright no matter what I decided to do. She reminded me that I was her little girl and would always be. For context, these words were minimal but I never have such emotional or personal talks with either of my parents, so this was enough to comfort me at the time.",1,NA,No one,1,1,6,9,1,8,9,9,1,9,6,1,9,7,6,7,9,9,7,1,6,1,9,7,1,9,9,1,9,9,7,7,7,7,7,7,3,1,6,1,1,7,7,7,1,1,1,1,6,3,6,1,2,5,1,1,2,7,6,5,2,4,4,3,5,3,3,5,4,2,5,4,3,5,2,3,5,2,2,5,4,4,5,5,5,4,6,5,7,4,3,1,4,5,5,4,3,3,4,2,5,2,4,4,3,4,3,4,4,2,2,2,5,5,5,3,2,3,5,4,4,5,4,2,3,5,2,4,1,2,3,2,2,2,3,3,3,3,4,4,4,2,2,5,3,5,7,6,104,2,NA,2,NA,2,1,2,NA,6,NA,1,1,3,86,7,55,27,26,22,20,6,5,5
8025,"Recently, I was upset about not receiving the grade I wanted for an essay.",I was feeling sad and slightly anxious because of how hard I had worked on my paper.,"After having a conversation with my parent about it, I was able to find the comfort in them helping me focus on solutions and not necessarily on the bad thoughts. My parent acknowledged how I felt and made me feel better about the effort I had put into this assignment.",2,NA,My mother,3,2,8,8,2,8,8,8,2,8,8,2,8,8,8,8,8,7,8,2,7,2,6,8,2,4,8,2,8,8,7,7,7,7,7,6,4,1,6,1,1,6,5,5,3,3,2,4,4,1,4,4,1,3,1,1,1,4,5,4,3,4,2,3,2,3,2,4,2,3,2,3,2,3,2,3,2,3,2,4,2,4,2,6,2,6,1,4,1,3,4,1,2,3,4,2,4,1,2,4,2,2,3,4,1,3,4,2,1,1,3,3,2,2,2,3,2,4,4,3,2,2,4,1,2,3,2,5,2,2,1,4,2,3,3,4,1,2,1,2,2,1,2,3,3,4,9,25,102,2,NA,1,NA,1,3,2,NA,6,NA,1,1,1,88,14,55,17,21,16,19,6,5,9
8026,I was upset with my dad when i would ask him how my mom was doing because she was sick. He would lie to me saying she was fine but she was already in the hospital.,"i was anxious because i did not know really how my mom was actually doing. I had so many questions that i did not know what to think,",what my dad was trying to tell me that she was okay and  she would be our right away. He wanted to make sure i did not get worried and would maintain my focus on school. He only wanted me to worry about school. He just was looking out for me for the best.,2,NA,my brother,2,1,9,9,1,8,6,9,1,9,9,1,9,9,9,9,9,9,9,2,4,1,1,9,2,2,9,1,6,9,7,7,7,7,7,6,5,1,5,1,1,4,6,4,1,4,1,7,7,1,5,1,1,2,1,1,5,4,7,5,1,5,1,5,1,2,1,5,2,5,1,3,1,5,1,5,1,4,1,5,3,4,1,7,3,7,1,7,1,7,7,1,2,2,3,2,3,2,2,4,1,1,4,3,3,3,4,2,1,1,5,5,1,1,1,4,5,5,1,4,2,1,2,1,1,1,1,1,1,3,1,2,1,4,1,2,1,1,1,1,1,1,2,3,1,1,2,27,103,1,NA,1,NA,2,3,1,NA,123,NA,1,1,4,98,9,52,12,24,15,23,4,4,11
8027,I was upset with my mom since I was getting in trouble because it was my younger brothers fault. She said since I am the oldest I should set and example and show him right from wrong.,Angry and sad,My dad wasn't in the picture so my mom had to fulfill both parent roles. After I had gotten a lecture from her she comforted me and said for me to go take a breather and then come back.,1,NA,no one,1,2,7,7,6,7,6,8,1,3,5,3,6,6,2,7,5,5,3,1,2,1,6,2,3,6,4,5,5,7,4,4,3,4,5,5,4,5,4,3,5,4,5,2,5,6,5,3,2,3,3,7,5,4,2,5,6,3,1,3,4,4,1,4,5,3,1,3,4,3,5,3,4,4,1,4,5,3,2,3,3,3,4,4,6,4,3,2,5,4,2,5,3,4,2,5,3,5,2,4,5,2,4,4,4,2,3,2,5,2,3,2,4,3,4,2,3,4,1,2,2,3,4,3,5,2,5,4,3,2,2,3,1,2,3,2,2,1,1,2,2,3,3,1,3,4,8,19,101,2,NA,1,NA,1,3,1,NA,13,NA,1,2,4,56,20,36,17,16,13,11,15,20,22
8028,"I was upset because I was scared of my future and just generally feeling like I wasn't enough. Nothing really triggered it, I was just overthinking a lot.",I was mostly feeling anxious and scared.,"My mom said how she was proud of me and that I have a bright future. She said I'm already accomplishing a lot and to focus on the now instead of so far in the future. One thing I like to do is put my head on her lap while we talk, I used to do it as a kid a lot so it brings a lot of comfort to me now.",1,NA,My dad was in the other room.,1,1,9,9,1,9,9,9,1,9,9,2,9,8,6,9,8,9,9,1,9,3,8,9,2,9,8,2,8,9,7,6,7,7,6,7,4,3,6,2,3,7,7,5,1,1,1,6,7,4,5,2,1,6,2,1,1,5,5,4,2,4,3,4,2,4,1,5,1,5,2,4,1,5,1,4,3,4,1,5,1,4,3,7,7,7,1,6,1,7,7,1,3,2,2,2,3,2,1,3,1,2,1,3,3,2,2,3,1,2,4,4,1,1,2,4,4,5,2,4,1,1,3,1,1,1,4,4,1,5,1,5,1,4,1,3,2,1,1,1,1,2,4,2,1,1,1,30,103,2,NA,1,NA,2,35,2,NA,6,NA,2,1,6,95,12,60,26,27,20,23,10,6,6
8029,I was upset because it seemed like my parents did not even like who I was as a person when I try my best.,"sad, angry, anxious, not confident, failure, depressed","They don't really help me to manage my emotions, if anything they make it worse.",1,NA,n/a,1,2,1,1,9,7,2,1,1,1,1,8,2,2,1,1,1,1,1,9,1,7,2,1,9,1,1,8,4,2,1,1,2,2,3,5,2,6,2,6,6,4,5,4,5,5,6,3,4,5,3,5,6,4,4,6,5,4,2,3,4,3,3,2,4,3,4,3,3,3,4,3,4,3,4,3,5,3,4,3,3,3,4,3,4,4,4,4,5,4,4,5,2,4,2,4,3,3,2,2,2,2,1,3,4,3,3,5,2,3,2,2,2,5,5,2,1,2,5,3,4,5,3,2,5,5,1,4,3,2,5,1,3,4,4,3,3,5,5,5,3,2,4,2,4,4,8,13,103,2,NA,1,NA,1,6,1,NA,123,NA,1,1,4,19,51,12,4,16,14,12,20,24,21
8030,"It wasn't really upset more sad and scared. It had been a few weeks since I had seen my mom since I am living in the dorms and she sent me this message that just really got me missing her. The message reminded me that in some point in my life, she's not going to be there for me anymore and I can't just call her when I want to talk to her. I drove back home with my friend to go see her.",I was really in my feels because it is sad to think about your parents not being there anymore because it is inevitable and it one day will happen. I was also scared of what its going to be like when she's gone. I felt almost guilty that I wasn't spending enough time with her and not appreciating her more. I needed to show her more of my love.,She was just very shocked when I came home. Me and her just had a good long hug because she didn't need to say anything. Just holding her was all the comfort I needed. I started crying and held her tighter.,1,NA,no one,1,1,6,3,1,6,5,8,6,6,6,3,9,6,4,8,5,8,8,1,5,2,9,6,3,9,7,3,3,8,6,5,7,5,4,4,3,6,4,4,5,3,5,4,3,3,2,2,2,3,1,4,3,3,3,5,4,3,2,4,4,4,4,2,4,2,3,4,2,2,4,4,2,4,2,2,5,2,4,5,2,2,4,3,5,7,3,6,5,6,5,5,3,2,2,3,3,4,2,2,3,2,2,3,3,2,2,3,2,2,2,4,4,3,3,3,2,3,3,4,4,5,4,4,2,4,3,4,4,2,4,2,3,2,4,4,4,2,4,2,2,3,4,3,2,4,11,21,104,2,NA,1,NA,1,1,2,NA,6,NA,2,2,7,76,19,33,26,15,13,8,15,15,15
8031,I was being blame for something that was not my responsibility,"I was feeling so anxious, sad and a lot of anger",they support by talking it out with me even they were some words that shouldn't have been said but it was there.,1,NA,my boyfriend,2,1,1,3,9,4,5,2,4,5,1,7,3,5,2,3,3,2,2,2,2,8,2,2,8,2,2,9,7,3,3,3,4,3,5,7,4,6,3,6,6,5,6,6,7,6,6,6,6,5,3,6,6,6,6,7,2,3,2,3,5,4,2,4,4,4,5,4,4,4,4,4,5,4,2,4,4,4,4,3,5,5,3,7,6,6,4,6,1,4,5,6,2,3,4,4,4,4,4,4,4,1,4,4,4,4,5,5,3,4,3,3,4,1,2,2,4,4,2,4,5,2,3,5,5,5,5,5,5,2,5,2,4,2,5,4,5,5,5,5,3,5,5,5,4,5,5,9,103,2,NA,1,NA,2,3,2,NA,5,NA,2,1,8,29,47,26,6,22,19,16,24,25,20
8032,I was upset because I thought my actions were being questioned by the people I care about and I felt like I didn't get a chance to defend myself. It was mainly about my decisions that I was going to make in college and my major.,I was mainly feeling anger and resentment.,"Though ironically, my parents were the ones who I was actually made at, I was able to formally release my emotions. I am usually a calm person, so I typically don't get mad. But letting my anger out that time felt very refreshing. They just let me yell and although I felt bad after wards, it helped me managed my emotion.",2,NA,my sister,1,2,4,5,5,6,5,5,3,6,6,5,4,5,5,4,4,5,5,4,4,6,5,6,5,4,5,5,5,5,5,5,4,5,4,4,4,5,4,4,3,4,4,4,4,5,2,4,4,4,3,4,3,4,4,3,3,4,4,3,3,3,2,3,3,3,2,3,3,3,2,3,2,4,2,3,2,3,3,3,3,3,3,5,5,5,3,4,3,5,5,4,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,2,2,2,2,3,2,3,3,2,3,2,1,1,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,10,17,104,1,NA,1,NA,1,1,1,NA,1249,grandma,2,2,7,55,33,34,14,16,16,15,17,11,16
8033,"I was 17, and got cheated on and dumped by the first girl I ever had ""serious"" feelings towards. It was the first time in my life, that I ever let someone get so close to me, and see me in a multiple vulnerable situations. Never having to deal with something like that, when she confessed to me she had been with someone else and for us to end the relation ship. It was similar to throwing a baby into an ocean and telling it to swim to shore.","My initial response was emotionless. The days, weeks, and months that followed were a mixture of anxiety, anger, paranoia, and depression.","My Dad would talk me through those rough nights. The roughest nights, are the nights where I would be wondering if she was with someone else that night. Was she going through pain like I was or was her life just fine. It was nights of jealousy and paranoia, but my dad would remind me that the only person that is getting hurt by jealousy, paranoia, and all those other emotions that have no immediate ground in reality, is the person that is thinking them.",2,NA,"No one really,",1,1,9,9,1,6,9,9,1,9,9,1,9,7,4,8,7,8,4,1,6,6,6,7,1,7,7,1,8,9,7,5,5,5,5,5,3,6,2,3,4,5,5,2,3,2,2,1,3,3,3,3,4,2,2,3,3,1,1,5,1,3,1,5,2,5,2,4,1,5,5,4,5,5,1,5,4,5,2,5,1,5,1,7,7,7,3,5,5,6,5,2,5,4,5,4,2,3,1,5,1,2,1,5,1,5,5,1,2,1,4,4,3,2,3,2,3,3,4,2,2,3,5,2,1,2,2,5,4,1,2,4,4,2,2,5,4,1,2,1,1,1,5,4,2,3,9,3,98,1,NA,1,NA,2,3,1,NA,123,NA,2,1,7,81,12,55,21,15,8,10,14,13,11
8034,I had gotten a rejection letter from the universities I applied to.,Sad and scared for the future.,"I told my mom about another rejection letter and began to cry. She told me that no matter the school, I can do my best and put a lot of effort into creating opportunities for myself to succeed at a school I get accepted into and make a strong path to a good future. ""If you put your heart to it, you can do anything.""",1,NA,Father,1,1,6,7,5,7,9,6,3,5,8,3,8,8,8,8,7,8,7,3,8,2,7,8,4,7,7,2,9,9,7,7,7,7,7,6,6,2,6,3,4,6,6,6,3,2,2,4,7,2,6,2,3,4,2,2,2,5,5,4,3,3,3,3,3,3,3,4,3,3,5,3,3,3,3,2,3,3,3,4,2,3,5,6,5,6,2,6,2,5,5,2,5,5,5,5,5,4,3,2,2,1,2,2,2,4,2,2,2,1,2,2,4,4,4,2,3,2,3,2,4,2,5,4,3,4,2,4,3,3,3,3,3,2,2,4,3,3,3,3,2,3,2,2,2,4,10,13,104,2,NA,1,NA,1,1,2,NA,6,NA,1,2,4,79,22,56,22,25,21,21,9,11,9
8035,I was upset because I had hours of work to complete and was afraid I would not get it done on time and that I would not get passing grades for my classes.,"I was anxious and scared because I needed to turn in those assignments since they were very important to my overall course grades. I was scared that if I didn't pass that I would fail, I set this image of myself that I need to be perfect and get good grades and go to a nice college. I don't want to make it look like I struggle and that I need help, especially in front of my parents. I was angry at myself as well, for not being able to get the work done fast enough or to remember as much as I want to for tests and exams. I was angry that no matter how hard I try, I will never be as good as the other students in my classes.","My mom was on the phone with me and I told her how much work I had that week and practically listed it all off to her. The thing that my mom said that helped me was honestly her saying how difficult it sounds to have all that work and how she would never have been able to do it, she also said to remember to take breaks. I think it was the idea that somebody saw I was struggling and recognized that I needed something to remind me how hard I'm working. There have been many cases with friends and family where I feel ignored and feel like most people don't see how hard it is keep up with everyone's needs and wants, yet I still try to make it seem like it's all easy.",1,NA,"No one else, just me and her on the phone.",2,2,3,7,1,6,8,8,1,7,4,1,6,7,9,8,5,1,6,1,5,3,1,7,1,1,7,1,5,6,5,5,6,5,4,5,4,5,3,4,5,4,5,5,5,4,4,3,5,4,3,3,3,6,4,5,4,5,4,3,4,2,3,2,4,2,3,4,2,2,3,3,4,4,3,3,4,3,4,3,3,2,5,5,4,6,2,5,3,4,5,4,3,4,2,4,4,3,1,2,3,2,1,2,3,4,2,4,3,1,2,3,2,5,4,2,1,2,4,2,4,4,5,2,4,3,1,4,2,4,5,2,5,1,4,4,3,3,4,4,2,2,3,1,3,4,3,27,104,2,NA,2,NA,1,5,1,NA,6,NA,2,2,8,73,9,41,3,18,20,14,18,17,15
8036,i feared that i was not going to graduate on time,anxious,"My mother used postive reinforcement to help me manage my emotions. She told me everything was going to be alright, she helped me map out my college journey and told me there was no issue even if i needed to stay an extra year.",1,NA,no one else,1,1,9,9,1,9,9,9,1,9,9,1,9,9,4,9,9,6,9,1,9,1,9,9,1,9,9,1,5,9,7,6,7,7,7,7,5,1,5,3,1,7,7,5,1,6,1,5,6,1,6,1,1,7,4,1,5,4,7,4,3,5,2,5,1,5,1,5,1,5,2,4,1,5,1,5,1,4,3,5,1,5,2,7,7,7,1,5,1,7,7,1,4,2,3,2,4,4,4,5,1,1,4,5,4,3,5,5,1,1,4,4,1,1,1,5,5,5,1,5,1,1,2,2,1,1,5,2,1,4,1,4,1,3,1,2,2,1,1,1,1,2,2,3,2,2,7,3,102,2,NA,1,NA,2,2,2,NA,6,NA,1,1,1,94,7,59,24,25,21,25,7,4,15
8037,I got pulled over for speeding.,"I was really angry and upset, angry because the road was empty, and upset because I knew I would have to face my parents when I got home. Also because the amount of time I saved by speeding was all thrown away and actually it took longer because the police officer took his time to write me a ticket","When I told my parent they didn't get mad, they told me to be careful next time and to just slow down.",2,NA,No one,1,1,7,7,2,7,7,7,4,7,7,4,7,7,4,6,7,7,7,3,7,2,7,5,7,6,5,5,4,6,5,4,5,6,4,4,3,1,1,1,2,3,4,4,2,4,1,3,4,2,2,2,2,6,2,1,2,6,3,4,3,3,3,5,1,3,3,4,4,5,2,2,2,2,4,5,1,2,3,3,5,5,1,4,3,4,2,3,6,3,2,2,2,2,2,2,2,2,2,2,1,5,3,4,2,1,2,1,3,4,2,3,2,2,3,3,1,1,3,2,1,2,4,3,1,1,2,3,4,2,1,3,4,2,1,4,4,2,3,1,4,4,4,2,1,5,9,4,101,1,NA,1,NA,1,18,1,NA,124,NA,1,2,3,68,27,46,20,13,19,11,7,6,9
8038,They didn’t understand me,Hurt,Give me their opinion,1,NA,Brother,1,1,4,4,3,3,3,4,1,4,5,1,5,2,1,3,2,2,2,2,2,2,2,3,3,3,4,3,2,2,4,4,4,4,4,5,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,3,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,14,104,2,NA,1,NA,2,8,2,NA,6,NA,2,1,4,35,15,20,7,18,16,15,16,16,16
8039,I was upset because of my work schedule and other things going on in my job as well as I was feeling stressed from school.,"Angry, annoyed",They tell me to relax and to take a breather before doing anything drastic,1,NA,No one,1,2,3,5,7,3,4,5,7,4,6,4,5,2,5,3,4,3,1,2,5,3,6,1,9,5,2,8,4,3,4,4,4,4,4,3,4,7,2,5,7,4,4,3,5,6,4,1,4,4,4,4,4,4,4,4,4,4,4,2,3,2,4,1,3,2,4,1,4,2,3,2,4,2,1,4,2,2,4,3,2,4,2,3,2,5,2,4,2,6,3,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,2,2,4,2,4,3,3,2,4,2,4,2,4,2,4,2,4,2,3,3,4,2,2,2,4,2,4,2,5,2,5,2,4,4,2,104,2,NA,1,NA,2,3,1,NA,14,NA,1,1,3,35,40,30,14,13,15,13,20,19,19
8040,I was feeling upset about the grade I received on my math midterm.,I was feeling pretty sad and a little angry at myself for getting the grade that I got.,"My parent comforted me by telling me that what happened is now in the past, so there is no use in stressing over it right now. They also told me that they weren't angry with me.",1,NA,brother,3,2,7,8,3,6,7,7,1,7,6,1,8,3,5,7,4,5,5,3,3,3,6,6,5,5,6,6,6,6,5,5,4,5,5,4,4,5,3,4,2,5,4,4,4,6,3,3,5,2,5,5,2,5,2,1,3,4,3,3,4,5,3,3,3,3,3,4,2,4,3,3,3,5,1,4,4,4,3,5,1,4,3,6,6,6,2,5,1,6,7,2,4,4,4,4,4,4,4,4,4,2,2,4,3,3,3,3,3,2,3,4,2,2,2,3,3,4,3,3,3,3,3,1,2,2,4,4,3,4,3,3,4,3,3,3,2,2,3,4,2,1,2,3,3,4,2,27,104,2,NA,1,NA,6,1,2,NA,6,NA,1,2,8,70,22,37,16,16,17,16,13,8,18
8041,No one remembered to include me in the organization of a trip.,Sad and angry,They apologized,1,NA,Father,1,2,1,1,3,1,1,4,1,3,6,7,2,7,5,5,1,4,4,1,1,1,1,7,1,5,3,5,5,2,1,3,4,4,4,7,3,1,4,1,3,4,7,7,1,6,4,3,5,1,3,3,1,7,1,3,1,5,5,5,1,2,3,3,3,5,1,5,4,5,4,5,1,3,3,4,3,4,2,4,2,3,3,7,5,4,1,7,1,5,1,1,5,5,4,2,5,2,1,2,2,2,2,2,4,3,3,4,2,2,1,2,1,2,1,1,5,1,1,4,3,5,1,1,1,1,1,1,1,5,4,2,4,5,1,1,1,1,2,2,1,1,1,1,2,1,3,18,103,1,NA,1,NA,1,3,2,NA,6,NA,1,1,4,37,19,22,10,23,22,15,4,11,11
8042,"I was upset because I failed my chemistry exam, and I felt like I shouldn't have. I told my mom that I studied so much, and that I wanted to change my major after I bombed it.","Sad, crying, very worthless.","My mom comforted me and even ordered uber eats food for me as a comfort food. She told me that ""don't worry I've failed my exams too before"" and that I should follow what I want to do.",1,NA,No one,3,1,7,8,1,8,7,9,7,6,8,1,8,7,9,9,7,8,9,1,7,8,8,8,1,9,8,2,9,9,6,6,6,6,5,6,5,6,5,2,3,6,6,2,6,6,2,6,6,2,6,6,2,6,2,1,2,5,6,4,2,4,2,4,2,4,2,4,1,4,3,5,2,5,2,4,2,4,2,4,4,3,4,6,6,7,2,7,2,6,6,2,4,3,4,4,4,4,4,4,2,4,3,3,3,1,4,4,4,3,4,3,4,4,3,2,4,4,3,5,4,4,2,4,4,3,4,4,2,2,2,4,4,2,4,4,2,4,4,4,2,4,3,4,2,4,1,7,104,2,NA,1,NA,1,1,2,NA,6,NA,1,2,6,90,21,53,25,23,18,24,16,8,16
8043,I have failed my math class in the first quarter.,"Angry, Anxious, Embarrassed",She said there is nothing I can do about it now and it is not a big deal to retake a class. She said it is okay.,1,NA,It was just my mother.,1,2,4,6,3,6,7,6,1,8,6,2,6,4,6,7,6,6,6,1,8,2,6,5,4,6,5,7,7,7,5,5,5,5,5,5,5,3,5,3,3,4,5,5,3,5,2,4,4,3,3,4,2,3,2,2,3,3,3,4,3,4,3,3,3,3,3,4,3,3,3,3,3,4,3,3,3,3,3,4,3,3,3,4,4,5,4,4,3,4,5,4,4,5,5,3,4,4,3,3,5,3,2,4,4,3,4,4,4,3,3,4,3,4,3,3,3,4,2,3,3,4,4,2,2,2,2,4,3,2,3,4,4,4,3,4,2,3,3,3,4,2,3,4,3,4,12,3,103,1,NA,1,NA,1,1,1,NA,12,NA,1,2,8,66,20,44,18,19,16,14,11,9,15
8044,"I had failed a midterm that I had studied countless hours for,",I was angry and sad.,"They told me that it was just one midterm and even though I did bad, I could still make up for it with the final.",1,NA,Father,1,2,3,4,3,6,3,3,1,3,5,2,4,5,3,5,6,1,4,1,6,1,5,4,3,1,5,1,1,6,3,4,4,3,4,6,4,2,6,4,3,5,6,7,3,4,2,4,5,3,3,2,2,5,2,2,3,2,2,4,4,4,1,4,2,4,2,4,2,4,2,4,2,4,1,4,3,4,3,4,2,4,1,5,5,7,1,4,4,5,4,4,2,2,4,3,3,3,4,4,2,3,2,2,2,2,3,4,3,3,2,2,1,5,5,2,1,1,4,1,4,3,4,1,3,4,2,4,2,2,3,2,4,4,2,3,2,2,4,4,2,1,3,2,2,2,9,28,103,1,NA,1,NA,2,3,2,NA,6,NA,1,2,8,46,12,30,7,23,18,14,10,9,13
8045,I was upset because I was moving away from home for the first time.,I was feeling very anxious and sad.,My parent helped me remember why I was doing what I'm doing. She also reminded me to pray.,1,NA,My dad.,2,1,5,7,5,9,5,4,7,6,8,8,6,5,3,4,4,3,4,4,3,5,5,2,7,2,4,8,5,5,4,4,5,5,3,3,3,4,3,4,5,3,2,4,6,7,6,2,4,5,4,5,5,4,5,5,5,4,2,3,5,3,3,2,3,3,2,3,3,2,4,3,2,3,2,4,4,3,4,3,2,2,3,5,5,6,4,4,5,4,4,5,4,5,3,4,4,5,2,2,4,3,1,3,2,3,4,5,5,4,4,4,5,4,4,3,3,3,3,2,4,4,5,4,5,4,2,5,4,2,3,1,5,3,4,5,4,4,5,5,5,4,5,3,5,5,2,18,104,2,NA,1,NA,1,6,2,NA,6,NA,1,1,1,52,44,37,10,12,15,11,20,21,21
8046,"For starters, my mom and I are not that close even though we live together, so she doesn't give much emotional support. This is answering the ""trying to change your emotions"" more so than tring to give support. 

I was upset because while I was driving and running errands with her, she kept nitpicking things I was doing that seem trivial to me, like choosing not to get bags for groceries, and braking too hard on the freeway during a sudden traffic jam. She raised her voice and went on and on about how what I did was stupid and I got really frustrated and snapped at her, raising my own voice defending my decisions and actions.","Angry, frustrated","She basically used the guilt trip card to make me feel bad for her by saying how much she works to pay the bills and keep a roof above my head, and how she has raised me all these years and now I'm disrepecting her by raising my voice at her. Even though I feel like I kind of raised myself, emotionally. Then she said how miserable she was to have me as a daughter and said I need to do what she says to make her happy, because she's my mom and blind obedience is the only way to make her happy I  guess. 

This only made me more frustrated. (I'm sorry if my answers dont really apply to the question, I can't remember the last time she has given me any support for anything.)",1,NA,Nobody,1,2,1,3,9,8,3,1,1,1,1,9,1,1,1,1,1,1,1,9,1,7,1,2,9,1,1,7,1,2,1,2,1,4,2,2,1,4,1,5,7,1,3,3,6,6,6,2,1,6,1,7,7,1,7,7,7,1,1,3,4,4,3,4,3,3,4,4,3,4,4,3,4,4,3,4,5,3,4,4,3,4,3,1,5,3,5,2,7,3,1,7,4,4,5,4,4,3,2,4,5,3,2,3,1,4,3,1,5,1,3,3,3,1,2,2,2,2,1,2,5,3,4,3,2,3,2,3,2,2,5,2,5,3,5,2,2,2,5,5,4,2,3,1,2,2,12,10,102,2,NA,1,NA,2,1,1,NA,12,NA,1,1,3,20,51,11,3,7,6,5,23,27,25
8047,parent did not understand why i could not do something,angry,left me to think alone for a bit before discussing how they felt and asking how i felt,1,NA,no one,1,2,5,6,4,6,5,5,3,6,6,3,7,6,5,6,6,7,6,3,6,3,6,6,2,6,6,2,6,7,6,5,6,5,5,6,6,2,6,2,2,6,6,5,2,5,2,5,6,2,5,5,2,5,2,2,2,6,5,4,3,3,4,2,4,3,3,3,3,3,4,3,3,3,3,2,3,2,3,3,3,2,4,5,5,7,2,6,1,6,6,2,3,4,2,5,4,5,2,2,5,2,1,2,2,2,1,2,4,2,1,2,4,5,5,3,2,3,5,3,5,4,4,4,3,3,1,4,4,1,5,1,2,1,4,5,4,3,4,5,3,4,3,3,4,4,10,28,103,2,NA,1,NA,2,1,1,NA,6,NA,1,2,8,65,20,41,19,24,22,21,8,8,14
8048,I was being pushed to answer a question that I did not want to answer,Frustrated,She told me to just answer and it is not that big of a deal.,1,NA,Step-Dad,1,1,4,6,9,9,5,4,7,1,8,8,4,3,4,5,3,3,3,7,4,4,3,2,8,4,3,9,3,3,2,2,3,3,3,4,3,6,2,4,6,4,5,5,4,5,6,4,4,6,3,4,3,3,6,6,5,4,2,4,4,4,2,4,3,2,4,4,4,2,3,4,2,3,2,3,4,2,4,4,2,4,4,4,4,4,3,2,5,3,3,5,4,3,4,2,3,4,1,3,3,2,1,1,3,2,4,4,3,2,2,1,4,2,3,1,1,1,2,1,4,5,3,3,2,4,1,3,4,3,5,2,4,4,5,4,2,4,5,4,3,2,4,4,3,5,9,8,104,2,NA,1,NA,2,3,2,NA,6,NA,1,1,5,42,52,32,10,15,15,13,22,21,18
